review,analyzing_sentiment,category,response
App works well and Yapikredi bank staff helpful.,Positive,Service,"""Thank you so much for taking the time to share your experience! We're thrilled to hear that our app is working well for you and that you've had a positive interaction with Yapikredi bank's staff. Your feedback means a lot to us!"" (Category: General Feedback, Sentiment: Positive)"
Disgrace,Negative,Errors & Bugs,"I'm so sorry to hear that you're experiencing issues with our product. The term ""disgrace"" suggests that something has gone terribly wrong, which is unacceptable."
Suberp...,Positive,General Feedback,"""Thanks so much for your kind words! We're thrilled to hear that you've had a great experience with our service/product!"""
Maybe I can say it is the best bank in Turkey.,Positive,Features,"""Thank you so much for your kind words! We're thrilled to hear that we've met your expectations and are considered one of the best banks in Turkey. Your trust means a lot to us, and we'll continue to work hard to provide you with excellent service."""
Good,Positive,General Feedback,"""Thanks for taking the time to share your thoughts! We're glad you had a good experience with our service/product."" "
I can't access and use the application I have been using for years from the same phone due to the root jailbreak error. Why doesn't YapÄ± Kredi work while other bank applications work?,Negative,Errors & Bugs,Here's a potential response:
Super comfortable to use it.,Positive,Features,"""Thank you so much for your kind review! We're thrilled to hear that our product is comfortable to use. Your satisfaction means a lot to us!"""
too good,Positive,Features,"""Thanks so much for your kind words! We're glad you're enjoying our service/product!"" (Category: General Feedback)"
perfect ðŸ‘Œ,Positive,General Feedback,"""Thanks so much for your wonderful review! We're thrilled that our product met your expectations ðŸ˜Š."""
ok,Positive,Features,Here's a response:
